"ID","Username","Date","Time","Quote","Hero","Game","Map","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute"
133,"CJR9899",2023-04-02,14:02:00,"""im gay"" ""LOL""","Symmetra","Overwatch","Midtown","Peasant","Richard","Sym on midtown, 2nd 2023-11-16, World Eater.",2023,"Apr","Sun",14,"02"
134,"Jai",2023-04-03,08:09:00,"""yeah lik jay""","N/A","Overwatch","New Queen Street","Neogun","Richard","New Queen St, 2nd 20240915",2023,"Apr","Mon",8,"09"
135,"JosJ",2023-04-04,17:41:00,NA,"N/A","Overwatch","Oasis","None","Richard","Oasis, 2nd 20240924",2023,"Apr","Tue",17,"41"
136,"JayMonkey",2023-04-05,12:42:00,NA,"N/A","Overwatch","N/A","N/A","Richard","Found in TDM",2023,"Apr","Wed",12,"42"
137,"JMAGE6581111",2023-04-05,13:41:00,NA,"Mercy","Overwatch","N/A","Medic","Richard","Mercy otp, 2nd sighting 2024-04-02 Esperanca, 3rd 2024-04-25 Blizzard World",2023,"Apr","Wed",13,"41"
138,"MancorJ",2023-04-07,12:51:00,"""ya""","N/A","Overwatch","Colosseo","Master Challenger","Richard","Found in TDM",2023,"Apr","Fri",12,"51"
139,"RJDole48",2023-04-07,17:37:00,"""yes""","Widowmaker","Overwatch","Hollywood","N/A","Richard","Found in TDM",2023,"Apr","Fri",17,"37"
140,"JAE",2023-04-08,18:12:00,NA,"N/A","Overwatch","Circuit Royale","N/A","Richard","Circuit Royale, toxic af",2023,"Apr","Sat",18,"12"
141,"JTP",2023-04-08,18:26:00,"""yesd\""","Brig","Overwatch","Paris","N/A","Richard","Found in TDM",2023,"Apr","Sat",18,"26"
142,"diegojdiaz",2023-04-09,15:11:00,NA,"N/A","Overwatch","Kanezaka","N/A","Richard","Found in TDM",2023,"Apr","Sun",15,"11"
143,"JayOnJupiter",2023-04-09,16:53:00,"""what about rasman""","N/A","Overwatch","Havana","Master Challenger","Richard","Havana, 2nd 09-Jul-2023",2023,"Apr","Sun",16,"53"
144,"JDavid",2023-04-13,08:48:00,NA,"Soldier","Overwatch","Rialto","Master Role Challenger","Richard","Found in custom games",2023,"Apr","Thu",8,"48"
145,"QTJay",2023-04-16,17:21:00,NA,"Mercy","Overwatch","Hollywood","N/A","Richard","Found in flappy mercy",2023,"Apr","Sun",17,"21"
146,"TriplehenJ",2023-04-18,16:49:00,NA,"Brig","Overwatch","N/A","N/A","Richard","Circuit Royale",2023,"Apr","Tue",16,"49"
147,"ToxicJ",2023-04-18,16:49:00,NA,"Sojourn","Overwatch","N/A","N/A","Richard","Circuit Royale",2023,"Apr","Tue",16,"49"
148,"ChuphenJ",2023-04-21,13:59:00,NA,"Junkrat","Overwatch","Antarctic Peninsula","None","Richard","Pariso",2023,"Apr","Fri",13,"59"
149,"JSpear",2023-04-23,10:19:00,NA,"N/A","Overwatch","Eichenwalde","Medic","Richard","Eichenwalde 2nd spotting 2023-04-09 gibraltar",2023,"Apr","Sun",10,"19"
150,"JVellex",2023-04-23,17:54:00,NA,"N/A","Overwatch","Circuit Royale","Disciple","Richard","Circuit Royale",2023,"Apr","Sun",17,"54"
151,"ZURXJAY",2023-04-27,15:16:00,NA,"Genji","Overwatch","N/A","N/A","Vixx","Spotted by vixx",2023,"Apr","Thu",15,"16"
152,"JRemedy",2023-04-28,14:33:00,"""what""","N/A","Overwatch","Eichenwalde","None","Richard","Eichenwalde",2023,"Apr","Fri",14,"33"
153,"BLASESEEJ",2023-04-29,09:11:00,NA,"N/A","Overwatch","N/A","None","Josiad","Spotted by vixx, default ow profile pic",2023,"Apr","Sat",9,"11"
154,"Jbull",2023-04-29,11:05:00,"""gura mahajat"" ""HEAVY ONNET""","N/A","Overwatch","Lijiang Tower","None","Richard","Lijang tower, kind of a roll",2023,"Apr","Sat",11,"05"
155,"Jaybird",2023-05-02,07:06:00,"""hi :3"" ""My cock is THROBBING :3""","N/A","Overwatch","Lijiang Tower","Sage","Richard","Lijang tower, tank player, 2nd spotting 2023-05-02 Nepal, 3rd spotting 2023-05-16",2023,"May","Tue",7,"06"
156,"JHex",2023-05-04,08:08:00,NA,"Ana","Overwatch","Ilios","N/A","Richard","Illios GM2 Ana",2023,"May","Thu",8,"08"
157,"StarJ",2023-05-05,15:07:00,"""hello rustynumbnut"" ""is this a J thing""","N/A","Overwatch","Blizzard World","Platinum Role Challenger","Richard","Blizzard world lootbox icon",2023,"May","Fri",15,"07"
158,"Jaizy",2023-05-05,15:50:00,NA,"Zenyatta","Overwatch","Oasis Gardens","Demigod","Richard","Custom game",2023,"May","Fri",15,"50"
159,"Jcon",2023-05-05,NA,NA,"N/A","Overwatch","N/A","N/A","N/A",NA,2023,"May","Fri",NA,NA
160,"Jay70001",2023-05-07,18:08:00,"""noway""","Widowmaker","Overwatch","Black Forest","None","Richard","custom game",2023,"May","Sun",18,"08"
161,"ITZJAY",2023-05-08,12:01:00,NA,"N/A","Overwatch","Numbani","None","Richard","N/A",2023,"May","Mon",12,"01"
162,"JJ00",2023-05-10,15:54:00,NA,"Sombra","Overwatch","Eichenwalde","N/A","Richard","Infection custom game",2023,"May","Wed",15,"54"
163,"JJSKY",2023-05-10,16:29:00,NA,"N/A","Overwatch","New Queen Street","Herald of Hermes","Richard","New Queen St, 2nd sighting 20240526 Gibraltar",2023,"May","Wed",16,"29"
164,"Jzac",2023-05-10,09:04:00,NA,"Rammatra","Overwatch","New Queen Street","None","Seb","Tank on New Queen St",2023,"May","Wed",9,"04"
165,"JayNotHot",2023-05-13,15:45:00,"""NS""","Genji","Overwatch","Hollywood","Seasoned Competitor","Vixx","Genji player",2023,"May","Sat",15,"45"
166,"Jayludus",2023-05-13,16:04:00,"""""you've been marked by avoided by too many people"" ah ok thanks""","Hanzo","Overwatch","N/A","Master Challenger","Vixx","Rialto rein player, 2nd 2023-09-25 was toxic",2023,"May","Sat",16,"04"
167,"SolidSnakeJJ",2023-05-14,07:21:00,NA,"N/A","Overwatch","Colosseo","Peasant","Richard","Colesseo, 2nd 2023-11-04",2023,"May","Sun",7,"21"
168,"JKiwi",2023-05-14,11:28:00,NA,"N/A","Overwatch","Route 66","None","Richard","Route 66",2023,"May","Sun",11,"28"
169,"PurpleJ",2023-05-14,12:58:00,NA,"Widowmaker","Overwatch","N/A","None","verdantJay","Went 1-6",2023,"May","Sun",12,"58"
170,"AYEJAE",2023-05-14,14:17:00,NA,"N/A","Overwatch","Paraiso","N/A","Richard","Midtown",2023,"May","Sun",14,"17"
171,"NinjaJay17",2023-05-14,17:06:00,NA,"Zenyatta","Overwatch","N/A","N/A","Vixx",NA,2023,"May","Sun",17,"06"
172,"MRJZMCFLY",2023-05-14,17:39:00,NA,"N/A","Overwatch","Numbani","None","Vixx","rolled us",2023,"May","Sun",17,"39"
173,"jgibby",2023-05-15,08:03:00,"""With every task there's a challenge, with every challenge there's a lesson""","Ana","Overwatch","Dorado","Grandmaster Challenger","Richard","GM ana from Dorado",2023,"May","Mon",8,"03"
174,"Jay3",2023-05-15,08:49:00,"""Spit on it and sit on it"" ""I Might be low in cum.... wait how does that saying go again?"" ""strap in strap on""","Widowmaker","Overwatch","Havana","Assassin","Richard","Spotted Havana, very sexual man. 2nd sighting 2023-10-14 Midtown, 3rd 2024-06-25 Workshop Chamber, 4th 2024-08-17",2023,"May","Mon",8,"49"
175,"StephyJ",2023-05-15,15:11:00,"""what daddy"" ""wtf do you want today huh a quick sucky""","N/A","Overwatch","Colosseo","Trickster","Richard","Colesseo",2023,"May","Mon",15,"11"
176,"jcub",2023-05-16,11:10:00,NA,"N/A","Overwatch","Paris","N/A","Richard","Team deathmatch",2023,"May","Tue",11,"10"
177,"TheSpideyJay",2023-05-16,16:23:00,"""kiss me""","Junker Queen","Overwatch","New Queen Street","Peasant","Richard","went 44-4 as jq on new queen st",2023,"May","Tue",16,"23"
178,"Jboogy811",2023-05-17,13:42:00,"""im him""","N/A","Overwatch","Hollywood","None","Richard","Hollywood",2023,"May","Wed",13,"42"
179,"JAYPG",2023-05-17,15:00:00,NA,"N/A","Overwatch","Shambali","Netbreaker","Vixx","Shambali",2023,"May","Wed",15,"00"
180,"JAIJAX",2023-05-18,18:49:00,NA,"Reinhardt","Overwatch","N/A","N/A","Vixx","Rein icon ",2023,"May","Thu",18,"49"
181,"kj3400",2023-05-18,16:30:00,"""I don't know this guy""","N/A","Overwatch","Blizzard World","N/A","Richard","dps blizzard world",2023,"May","Thu",16,"30"
182,"JJ69",2023-05-18,16:30:00,"""i gotta go""","N/A","Overwatch","Blizzard World","Extraterrestrial","Richard","support blizzard world Extraterrestrial",2023,"May","Thu",16,"30"
183,"Jhex2",2023-05-20,15:28:00,"""i dont know bro thats not me""","Kiriko","Overwatch","Paraiso","N/A","Richard","pariso comp, quote is response to jhex inquiry",2023,"May","Sat",15,"28"
184,"JJx",2023-05-21,12:25:00,"""Hi""","N/A","Overwatch","Kanezaka","N/A","Sqweryl","Kanezaka FFA Comp, 2nd 2023-12-13; Stalwrt hero",2023,"May","Sun",12,"25"
185,"Jmoe",2023-05-22,16:58:00,"""hello""","N/A","Overwatch","Havana","Mortal","Richard","Found in Havana",2023,"May","Mon",16,"58"
186,"JBROCKS4EVER",2023-05-23,13:30:00,NA,"Tracer","Overwatch","N/A","N/A","Vixx","Tracer player 2nd spotting 31May2023 Circuit Royale 3rd 20241120 OW Classic",2023,"May","Tue",13,"30"
187,"JayBee",2023-05-23,13:30:00,NA,"N/A","Overwatch","N/A","N/A","Vixx","Blizzard world, 2nd 2023-07-27",2023,"May","Tue",13,"30"
188,"AYYJAYY",2023-05-24,18:10:00,NA,"Echo","Overwatch","N/A","N/A","Vixx","Echo player",2023,"May","Wed",18,"10"
189,"YAJ",2023-05-25,19:02:00,NA,"N/A","Overwatch","Rialto","Extraterrestrial","Richard","Extraterrestrial tag",2023,"May","Thu",19,"02"
190,"JAYKU",2023-05-25,12:38:00,"""c9999999""","Soldier","Overwatch","Midtown","Neogun","Vixx","said a slur, 2nd sighting 2024-02-07",2023,"May","Thu",12,"38"
